model,top1_accuracy,top3_accuracy,top1_percent,top3_percent
Global frequency,0.04621863885417668,0.14164183408632125,4.62,14.16
Current-region Markov,0.26738681149668364,0.6246935980005768,26.74,62.47
Conditioned Markov,0.27766029030087475,0.6284485244640969,27.77,62.84
